Name,URI,Region GSS code,Period,Sales volume,Reporting period,House price index All property types,Pivotable date
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2020-04,211,monthly,112.09,01-04-20
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2020-04,97,monthly,117.86,01-04-20
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2020-04,327,monthly,123.29,01-04-20
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2020-04,1037,monthly,118.94,01-04-20
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2020-05,287,monthly,110.24,01-05-20
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2020-05,149,monthly,116.1,01-05-20
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2020-05,482,monthly,123.67,01-05-20
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2020-05,1424,monthly,118.41,01-05-20
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2020-06,405,monthly,112.13,01-06-20
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2020-06,180,monthly,116.58,01-06-20
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2020-06,758,monthly,125.51,01-06-20
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2020-06,2073,monthly,119.59,01-06-20
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2020-07,493,monthly,116.61,01-07-20
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2020-07,216,monthly,118.14,01-07-20
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2020-07,772,monthly,128.58,01-07-20
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2020-07,2252,monthly,122.28,01-07-20
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2020-08,507,monthly,122.12,01-08-20
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2020-08,237,monthly,121.17,01-08-20
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2020-08,838,monthly,130.83,01-08-20
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2020-08,2372,monthly,125.3,01-08-20
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2020-09,579,monthly,123.57,01-09-20
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2020-09,225,monthly,123.96,01-09-20
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2020-09,899,monthly,131.95,01-09-20
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2020-09,2598,monthly,126.33,01-09-20
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2020-10,688,monthly,123.57,01-10-20
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2020-10,306,monthly,124.55,01-10-20
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2020-10,1135,monthly,133.2,01-10-20
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2020-10,3271,monthly,127.41,01-10-20
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2020-11,693,monthly,124.89,01-11-20
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2020-11,268,monthly,125.14,01-11-20
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2020-11,1164,monthly,135.41,01-11-20
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2020-11,3237,monthly,128.88,01-11-20
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2020-12,707,monthly,126.9,01-12-20
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2020-12,341,monthly,125.88,01-12-20
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2020-12,1111,monthly,136.72,01-12-20
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2020-12,3327,monthly,130.84,01-12-20
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2021-01,537,monthly,129.81,01-01-21
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2021-01,303,monthly,125.07,01-01-21
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2021-01,900,monthly,139,01-01-21
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2021-01,2498,monthly,132.5,01-01-21
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2021-02,715,monthly,130.31,01-02-21
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2021-02,386,monthly,126.69,01-02-21
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2021-02,1064,monthly,138.79,01-02-21
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2021-02,3233,monthly,133,01-02-21
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2021-03,846,monthly,129.74,01-03-21
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2021-03,442,monthly,129.17,01-03-21
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2021-03,1540,monthly,139.86,01-03-21
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2021-03,4125,monthly,133.79,01-03-21
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2021-04,692,monthly,129.27,01-04-21
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2021-04,326,monthly,131.82,01-04-21
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2021-04,1008,monthly,139,01-04-21
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2021-04,3019,monthly,133.62,01-04-21
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2021-05,601,monthly,128.38,01-05-21
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2021-05,231,monthly,132.27,01-05-21
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2021-05,922,monthly,139.53,01-05-21
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2021-05,2635,monthly,134.1,01-05-21
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2021-06,936,monthly,132.6,01-06-21
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2021-06,443,monthly,134.53,01-06-21
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2021-06,1727,monthly,143.04,01-06-21
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2021-06,4664,monthly,137.52,01-06-21
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2021-07,532,monthly,131.02,01-07-21
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2021-07,261,monthly,132.93,01-07-21
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2021-07,718,monthly,142.34,01-07-21
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2021-07,2389,monthly,136.95,01-07-21
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2021-08,683,monthly,132.34,01-08-21
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2021-08,250,monthly,135.41,01-08-21
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2021-08,933,monthly,142.69,01-08-21
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2021-08,2893,monthly,137.8,01-08-21
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2021-09,973,monthly,132.75,01-09-21
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2021-09,469,monthly,137.59,01-09-21
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2021-09,1553,monthly,141.34,01-09-21
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2021-09,4585,monthly,137.57,01-09-21
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2021-10,486,monthly,133.81,01-10-21
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2021-10,234,monthly,140.94,01-10-21
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2021-10,648,monthly,143,01-10-21
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2021-10,2183,monthly,139.63,01-10-21
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2021-11,587,monthly,136.02,01-11-21
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2021-11,256,monthly,139.42,01-11-21
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2021-11,812,monthly,143.51,01-11-21
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2021-11,2592,monthly,140.29,01-11-21
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2021-12,649,monthly,133.64,01-12-21
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2021-12,291,monthly,135.66,01-12-21
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2021-12,878,monthly,143.57,01-12-21
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2021-12,2741,monthly,139.19,01-12-21
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2022-01,525,monthly,135.35,01-01-22
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2022-01,187,monthly,135.46,01-01-22
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2022-01,780,monthly,146.81,01-01-22
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2022-01,2213,monthly,141.23,01-01-22
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2022-02,560,monthly,134.57,01-02-22
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2022-02,245,monthly,138.28,01-02-22
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2022-02,849,monthly,149.33,01-02-22
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2022-02,2501,monthly,142.8,01-02-22
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2022-03,610,monthly,134.71,01-03-22
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2022-03,274,monthly,139.82,01-03-22
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2022-03,843,monthly,150.36,01-03-22
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2022-03,2627,monthly,143.73,01-03-22
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2022-04,550,monthly,136.6,01-04-22
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2022-04,247,monthly,139.8,01-04-22
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2022-04,776,monthly,151.3,01-04-22
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2022-04,2555,monthly,144.6,01-04-22
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2022-05,520,monthly,139.4,01-05-22
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2022-05,209,monthly,139.2,01-05-22
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2022-05,779,monthly,152.2,01-05-22
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2022-05,2389,monthly,146,01-05-22
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2022-06,569,monthly,141,01-06-22
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2022-06,219,monthly,136.8,01-06-22
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2022-06,786,monthly,154.2,01-06-22
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2022-06,2491,monthly,147.6,01-06-22
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2022-07,538,monthly,144.8,01-07-22
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2022-07,279,monthly,139.4,01-07-22
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2022-07,952,monthly,156.6,01-07-22
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2022-07,2728,monthly,150,01-07-22
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2022-08,625,monthly,145.6,01-08-22
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2022-08,289,monthly,142.1,01-08-22
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2022-08,964,monthly,158.9,01-08-22
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2022-08,2828,monthly,152,01-08-22
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2022-09,593,monthly,147.8,01-09-22
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2022-09,255,monthly,147.1,01-09-22
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2022-09,887,monthly,160.2,01-09-22
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2022-09,2681,monthly,154,01-09-22
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2022-10,604,monthly,146.7,01-10-22
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2022-10,275,monthly,148.9,01-10-22
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2022-10,885,monthly,161.6,01-10-22
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2022-10,2655,monthly,154.6,01-10-22
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2022-11,655,monthly,147.6,01-11-22
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2022-11,298,monthly,149.7,01-11-22
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2022-11,951,monthly,162.9,01-11-22
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2022-11,2818,monthly,155.3,01-11-22
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2022-12,568,monthly,147.9,01-12-22
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2022-12,243,monthly,149.4,01-12-22
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2022-12,893,monthly,162.7,01-12-22
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2022-12,2550,monthly,155.5,01-12-22
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-01,462,monthly,147,01-01-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-01,210,monthly,146.8,01-01-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-01,612,monthly,158.9,01-01-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-01,1881,monthly,153.9,01-01-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-02,422,monthly,145,01-02-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-02,166,monthly,142.8,01-02-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-02,636,monthly,157.6,01-02-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-02,1796,monthly,152.1,01-02-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-03,451,monthly,142.3,01-03-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-03,216,monthly,140.2,01-03-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-03,683,monthly,156.4,01-03-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-03,2067,monthly,150,01-03-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-04,327,monthly,141.1,01-04-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-04,166,monthly,141.9,01-04-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-04,521,monthly,157,01-04-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-04,1525,monthly,149.7,01-04-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-05,362,monthly,139.7,01-05-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-05,160,monthly,143.6,01-05-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-05,526,monthly,156.6,01-05-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-05,1605,monthly,149.3,01-05-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-06,454,monthly,140.3,01-06-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-06,191,monthly,145.9,01-06-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-06,694,monthly,157.3,01-06-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-06,2006,monthly,150,01-06-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-07,445,monthly,143.1,01-07-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-07,178,monthly,147.7,01-07-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-07,663,monthly,160.4,01-07-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-07,1903,monthly,152.3,01-07-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-08,443,monthly,145.7,01-08-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-08,213,monthly,148.2,01-08-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-08,684,monthly,163.3,01-08-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-08,1971,monthly,154.4,01-08-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-09,366,monthly,146.2,01-09-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-09,183,monthly,147,01-09-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-09,575,monthly,165.1,01-09-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-09,1636,monthly,155.2,01-09-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-10,,monthly,146,01-10-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-10,,monthly,143.4,01-10-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-10,,monthly,163.5,01-10-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-10,,monthly,154.7,01-10-23
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2023-11,,monthly,150,01-11-23
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2023-11,,monthly,147.5,01-11-23
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2023-11,,monthly,161.8,01-11-23
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2023-11,,monthly,155.5,01-11-23
